id,name,type,sex,origin,genre,language,year,second year,tracks
40,40,1,2,7,NA,NA,NA,NA,NA
Adam,Adam Martin,1,2,8,NA,NA,NA,NA,
Aion,Aion Clarke,1,,,NA,NA,NA,NA,
Alan,Alan Lomax,1,,,NA,NA,NA,NA,NA
Alex,Alex Delicata,1,,,NA,NA,NA,NA,NA
Alle,Allen Ritter,1,2,2,NA,NA,NA,NA,
Andr,André 3000,1,,,NA,NA,NA,NA,NA
Andre,Andrew Thomas,1,,,NA,NA,NA,NA,
Anne,Anne Dudley,1,1,1,NA,NA,NA,NA,NA
Anth,Anthony Fields,1,2,8,NA,NA,NA,NA,NA
Anto,Antonio Randolph,1,,,NA,NA,NA,NA,NA
Apen,A Pentatonix Chrismas by Pentatonix,2,NA,NA,13,1,2017,NA,11
Aqua,Aquaman,1,,,NA,NA,NA,NA,
Avey,Avey Tare,1,2,2,NA,NA,NA,NA,NA
Axel,Axel Morgan (Singer),1,2,NA,NA,NA,NA,NA,NA
Bach,Bacharach & David,1,,,NA,NA,NA,NA,NA
Been,Beenie Man,1,2,10,NA,NA,NA,NA,
Bell,Belly,1,,,NA,NA,NA,NA,NA
BenB,Ben Billions,1,2,,NA,NA,NA,NA,NA
Beyo,Beyoncé,1,1,2,NA,NA,NA,NA,NA
BigB,Big Boi,1,,,NA,NA,NA,NA,NA
Blac,Blackstar by David Bowie,2,NA,NA,5,1,2017,NA,7
Blue,Blue u Lonesome by The Rolling Stones,2,NA,NA,14,1,2017,NA,12
Blur,Blurryface by Twenty One Pilots,2,NA,NA,5,1,2017,NA,14
BobB,Bob Bharma,1,2,1,NA,NA,NA,NA,NA
Boi-1,Boi-1da,1,2,10,NA,NA,NA,NA,NA
BOOT,BOOTS,1,2,,NA,NA,NA,NA,NA
Bran,Brandy,1,1,2,NA,NA,NA,NA,
Bria,Brian Chase,1,2,2,NA,NA,NA,NA,NA
Brian,Brian Alexander Morgan,1,2,2,NA,NA,NA,NA,NA
Broc,Brock Korsan,1,2,NA,NA,NA,NA,NA,
Brya,Bryan-Michael Cox,1,2,2,NA,NA,NA,NA,NA
Buck,Buck Ram,1,2,2,NA,NA,NA,NA,NA
Budd,Buddy Johnson,1,2,2,NA,NA,NA,NA,NA
Buff,Buff Love,1,2,2,NA,NA,NA,NA,
